w-2	w-1	w	log2prob	suprisal	entropy	word_lp
vrouw	die	prachtige	-13.6159	13.6159	6.92278	12554.6
die	prachtige	tekeningen	-16.2034	16.2034	6.44766	75459.4
prachtige	tekeningen	maakt	-11.3696	11.3696	3.12193	2645.99
tekeningen	maakt	mag	-11.2319	11.2319	1.58496	2405.13
maakt	mag	vanaf	-12.0205	12.0205	1	4154.57
mag	vanaf	dinsdag	-13.1987	13.1987	3.02206	9401.53
vanaf	dinsdag	naar	-8.27957	8.27957	4.08746	310.742
dinsdag	naar	de	-2.45943	2.45943	3.45943	5.5
naar	de	kunstacademie	-13.6954	13.6954	11.6438	13265.5
_	_	Sonja	-14.869	14.869	8.87044	29923.6
_	Sonja	keek	-5.93074	5.93074	3.81546	61
Sonja	keek	verbaasd	-15.5402	15.5402	1	47650.6
keek	verbaasd	naar	-2.80735	2.80735	2.95021	7
verbaasd	naar	moeder	-12.621	12.621	3.64552	6299.32
naar	moeder	die	-7.08274	7.08274	2.73957	135.556
moeder	die	de	-5.7211	5.7211	5.75424	52.75
die	de	overige	-12.586	12.586	11.2996	6148.25
de	overige	biscuitjes	-24.0967	24.0967	9.1963	1.79E+07
overige	biscuitjes	in	-1	1	1.5	2
biscuitjes	in	de	-4.48102	4.48102	0	22.3316
in	de	prullenbak	-11.5087	11.5087	11.3754	2913.79
de	prullenbak	gooide	-16.4547	16.4547	4.71628	89814.6
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	politieagent	-16.0698	16.0698	12.4321	68783.2
De	politieagent	die	-7.08274	7.08274	2.58496	135.556
politieagent	die	de	-3.90689	3.90689	2.39992	15
die	de	agressieve	-14.586	14.586	11.2996	24593
de	agressieve	peetoom	-22.5118	22.5118	5.47685	5.98E+06
agressieve	peetoom	arresteert	-18.897	18.897	3.25163	488176
peetoom	arresteert	gaat	-9.67384	9.67384	2.19608	816.803
arresteert	gaat	hardhandig	-18.748	18.748	7.47885	440257
gaat	hardhandig	te	-6.34873	6.34873	5.44378	81.5
hardhandig	te	werk	-11.2178	11.2178	1	2381.66
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	agent	-11.8998	11.8998	12.4321	3821.29
De	agent	die	-6.61471	6.61471	3.84971	98
agent	die	de	-1.99247	1.99247	3.30843	3.97917
die	de	snelste	-17.6129	17.6129	11.2996	200452
de	snelste	was	-6.11548	6.11548	5.84012	69.3333
snelste	was	had	-9.86669	9.86669	1.58496	933.621
was	had	de	-4.79008	4.79008	3.40882	27.6667
had	de	naakte	-17.897	17.897	9.5613	244088
de	naakte	kraker	-20.2387	20.2387	4.70776	1.24E+06
naakte	kraker	gearresteerd	-15.9572	15.9572	5.12299	63618.7
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	reporter	-16.3917	16.3917	12.4321	85979
De	reporter	die	-2	2	2	4
reporter	die	de	-1.32193	1.32193	1.92193	2.5
die	de	vermoeide	-19.1542	19.1542	11.2996	583430
de	vermoeide	ballerina	-21.8488	21.8488	4.27761	3.78E+06
vermoeide	ballerina	interviewt	-19.3418	19.3418	3.93214	664462
ballerina	interviewt	wil	-10.0668	10.0668	3.87719	1072.51
interviewt	wil	veel	-11.9424	11.9424	7.98216	3935.82
wil	veel	weten	-11.0873	11.0873	4.08746	2175.79
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	moeder	-10.7623	10.7623	12.4321	1736.95
De	moeder	die	-6.38888	6.38888	2.70123	83.8
moeder	die	extra	-12.3683	12.3683	5.75424	5287.1
die	extra	dekens	-18.0855	18.0855	6.73604	278147
extra	dekens	voor	-7.05463	7.05463	1	132.94
dekens	voor	haar	-7.16746	7.16746	7.96762	143.754
voor	haar	dochter	-8.06724	8.06724	8.54639	268.214
haar	dochter	vraagt	-13.1612	13.1612	5.96169	9160.31
dochter	vraagt	is	-6.31192	6.31192	0	79.4472
vraagt	is	kansloos	-17.2958	17.2958	4.01792	160901
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	beroemdheid	-18.3917	18.3917	12.4321	343916
De	beroemdheid	die	-7.08274	7.08274	0	135.556
beroemdheid	die	de	-4.42801	4.42801	9.98323	21.526
die	de	reporter	-18.3418	18.3418	11.2996	332231
de	reporter	wegstuurt	-24.0967	24.0967	3.54659	1.79E+07
reporter	wegstuurt	wil	-10.0668	10.0668	2	1072.51
wegstuurt	wil	de	-4.58231	4.58231	7.98216	23.956
wil	de	wachtende	-19.7217	19.7217	8.71238	864601
de	wachtende	politie	-11.424	11.424	4.15239	2747.6
wachtende	politie	niet	-7.54336	7.54336	6.64703	186.543
politie	niet	te	-5.54432	5.54432	5.19775	46.6667
niet	te	woord	-10.8983	10.8983	8.22315	1908.57
te	woord	staan	-3.22239	3.22239	3.40018	9.33333
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	clown	-15.8067	15.8067	12.4321	57319.3
De	clown	die	-7.08274	7.08274	2.80735	135.556
clown	die	op	-6.68674	6.68674	2.58496	103.017
die	op	het	-3.58307	3.58307	6.58545	11.9843
op	het	zonnige	-13.496	13.496	9.92278	11552.8
het	zonnige	terras	-3.78136	3.78136	4.64746	13.75
zonnige	terras	zit	-2.80735	2.80735	2.80735	7
terras	zit	is	-6.31192	6.31192	0.811278	79.4472
zit	is	uit	-8.44226	8.44226	5.23147	347.835
is	uit	op	-5.82079	5.82079	4.80501	56.5238
uit	op	wraak	-8.20387	8.20387	6.07522	294.857
_	_	Mijn	-8.49924	8.49924	8.87044	361.847
_	Mijn	moeder	-4.53245	4.53245	9.0455	23.1422
Mijn	moeder	verkoopt	-15.9974	15.9974	5.18377	65416.5
moeder	verkoopt	haar	-8.51439	8.51439	6.19799	365.667
verkoopt	haar	oude	-1.58496	1.58496	1.58496	3
haar	oude	auto	-7.13955	7.13955	4.99315	141
oude	auto	die	-7.08274	7.08274	4.08386	135.556
auto	die	geen	-9.05198	9.05198	5.6648	530.783
die	geen	passende	-16.1719	16.1719	9.34232	73829.1
geen	passende	trekhaak	-20.2387	20.2387	4.02193	1.24E+06
passende	trekhaak	heeft	-8.20096	8.20096	4.45844	294.262
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	nieuwe	-7.75779	7.75779	12.4321	216.435
De	nieuwe	propellor	-24.0967	24.0967	8.88269	1.79E+07
nieuwe	propellor	die	-7.08274	7.08274	1.5	135.556
propellor	die	was	-9.77795	9.77795	9.98323	877.925
die	was	besteld	-16.6558	16.6558	7.3055	103254
was	besteld	door	-2	2	2	4
besteld	door	de	-0.584963	0.584963	1.25163	1.5
door	de	mechanicus	-26.0967	26.0967	11.8416	7.18E+07
de	mechanicus	was	-8.47549	8.47549	0	355.94
mechanicus	was	rood	-14.2993	14.2993	7.71877	20161
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	verpleegster	-14.8067	14.8067	12.4321	28659.7
De	verpleegster	verzorgt	-16.3756	16.3756	3.02206	85025.9
verpleegster	verzorgt	de	-3.12119	3.12119	5.52044	8.70103
verzorgt	de	zieke	-15.7425	15.7425	6.4762	54821.9
de	zieke	die	-6.21594	6.21594	6.43266	74.3333
zieke	die	last	-13.4917	13.4917	2.80735	11518.8
die	last	van	-3.80735	3.80735	3.16318	14
last	van	ontstoken	-18.482	18.482	6.66602	366132
van	ontstoken	pukkels	-22.2894	22.2894	1.58496	5.13E+06
ontstoken	pukkels	heeft	-8.20096	8.20096	2.98523	294.262
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	juf	-13.4848	13.4848	12.4321	11463.9
De	juf	berispte	-22.2894	22.2894	4.06958	5.13E+06
juf	berispte	het	-5.47942	5.47942	3.52164	44.6138
berispte	het	jongetje	-13.6748	13.6748	11.8089	13077.3
het	jongetje	dat	-3.77259	3.77259	5.81728	13.6667
jongetje	dat	de	-5.02975	5.02975	4.52252	32.6667
dat	de	gammele	-19.8873	19.8873	12.132	969755
de	gammele	drukknop	-22.1898	22.1898	3.4183	4.78E+06
gammele	drukknop	indrukte		0		
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	overvaller	-14.9323	14.9323	12.4321	31265.1
De	overvaller	stal	-16.2622	16.2622	3.02717	78600.1
overvaller	stal	alle	-10.1732	10.1732	5.99177	1154.62
stal	alle	kostbaarheden	-14.9235	14.9235	11.0704	31076
alle	kostbaarheden	die	-7.08274	7.08274	1	135.556
kostbaarheden	die	de	-4.48102	4.48102	0	22.3316
die	de	verbaasde	-14.586	14.586	11.2996	24593
de	verbaasde	buurman	-16.0226	16.0226	3.57262	66569.5
verbaasde	buurman	in	-5.90288	5.90288	6.83791	59.8333
buurman	in	huis	-11.6605	11.6605	2.81402	3237.18
in	huis	had	-6.71736	6.71736	5.89341	105.227
_	_	Het	-4.06265	4.06265	8.87044	16.7101
_	Het	belegde	-19.6704	19.6704	9.08363	834440
Het	belegde	bruine	-16.2813	16.2813	4.43246	79646.9
belegde	bruine	bolletje	-18.7044	18.7044	7.40205	427154
bruine	bolletje	dat	-5.80735	5.80735	4.51588	56
bolletje	dat	op	-6.68674	6.68674	1.58496	103.017
dat	op	het	-3.55547	3.55547	6.46975	11.7571
op	het	aanrecht	-10.911	10.911	9.92278	1925.47
het	aanrecht	ligt	-11.7026	11.7026	4.80529	3332.96
aanrecht	ligt	is	-7.57395	7.57395	6.26356	190.54
ligt	is	vers	-15.1194	15.1194	4.37725	35596.2
_	_	Margriet	-17.5518	17.5518	8.87044	192141
_	Margriet	die	-7.08274	7.08274	3.61635	135.556
Margriet	die	de	-4.42801	4.42801	9.98323	21.526
die	de	drukke	-14.586	14.586	11.2996	24593
de	drukke	periode	-5.72792	5.72792	6.25224	53
drukke	periode	meer	-8.88918	8.88918	2.85539	474.145
periode	meer	dan	-8.22194	8.22194	3	298.572
meer	dan	zat	-8.7927	8.7927	7.51159	443.472
dan	zat	was	-8.47549	8.47549	4.00126	355.94
zat	was	ging	-11.598	11.598	4.58618	3099.86
was	ging	op	-6.68674	6.68674	1.44165	103.017
ging	op	vakantie	-6.82443	6.82443	5.02217	113.333
_	_	Zij	-7.77884	7.77884	8.87044	219.616
_	Zij	schrok	-13.0209	13.0209	8.14261	8311.5
Zij	schrok	van	-5.27407	5.27407	1	38.6949
schrok	van	de	-2.56294	2.56294	2.64774	5.90909
van	de	schreeuw	-19.0025	19.0025	13.0134	525205
de	schreeuw	die	-7.08274	7.08274	2.75887	135.556
schreeuw	die	de	-4.48102	4.48102	0	22.3316
die	de	wilde	-12.2615	12.2615	11.2996	4909.82
de	wilde	barbaar	-21.0093	21.0093	5.55325	2.11E+06
wilde	barbaar	uitbracht	-18.5269	18.5269	4.37086	377694
_	_	Mijn	-8.49924	8.49924	8.87044	361.847
_	Mijn	aardige	-15.6527	15.6527	9.0455	51516.1
Mijn	aardige	collega	-10.444	10.444	8.23894	1393
aardige	collega	die	-7.08274	7.08274	0	135.556
collega	die	ingedeeld	-16.6291	16.6291	5.76824	101359
die	ingedeeld	was	-8.47549	8.47549	0	355.94
ingedeeld	was	in	-5.85295	5.85295	0	57.798
was	in	de	-2.13757	2.13757	6.37596	4.4002
in	de	vroege	-10.2294	10.2294	11.3754	1200.48
de	vroege	dienst	-8.4818	8.4818	6.31913	357.5
vroege	dienst	ging	-11.598	11.598	1.92193	3099.86
dienst	ging	weg	-10.9002	10.9002	2.5	1911.05
_	_	Zonder	-10.3594	10.3594	8.87044	1313.67
_	Zonder	groot	-11.4369	11.4369	7.69691	2772.44
Zonder	groot	protest	-13.6597	13.6597	7.13091	12941.5
groot	protest	nam	-13.5619	13.5619	1	12093.3
protest	nam	het	-3.69559	3.69559	6.5154	12.9563
nam	het	meisje	-13.2712	13.2712	6.52581	9885.92
het	meisje	dat	-3.42018	3.42018	6.25949	10.7048
meisje	dat	moest	-11.8328	11.8328	5.54642	3647.73
dat	moest	huilen	-15.3595	15.3595	4.68469	42039.8
moest	huilen	een	-5.57909	5.57909	1.29574	47.805
huilen	een	hap	-17.5771	17.5771	0	195536
een	hap	groente	-16.9069	16.9069	3.80297	122880
_	_	Het	-4.06265	4.06265	8.87044	16.7101
_	Het	zeldzame	-16.4457	16.4457	9.08363	89256.1
Het	zeldzame	plantje	-19.4529	19.4529	6.91239	717619
zeldzame	plantje	dat	-4.32193	4.32193	5.82737	20
plantje	dat	in	-2.32193	2.32193	2.32193	5
dat	in	het	-2.99621	2.99621	6.37837	7.97899
in	het	venster	-12.3212	12.3212	10.3569	5117.3
het	venster	stond	-12.2605	12.2605	4.96722	4906.46
venster	stond	had	-11.5143	11.5143	6.57019	2925.2
stond	had	water	-11.9642	11.9642	2.32193	3995.65
had	water	nodig	-2.32193	2.32193	1.92193	5
_	_	in	-12.6124	12.6124	8.87044	6261.88
_	in	het	-3.4134	3.4134	5.50606	10.6545
in	het	luxueuze	-17.2281	17.2281	10.3569	153519
het	luxueuze	banket	-21.1898	21.1898	2.58496	2.39E+06
luxueuze	banket	dat	-6.51534	6.51534	4.29807	91.4769
banket	dat	net	-11.633	11.633	7.86025	3176.02
dat	net	gebracht	-12.7494	12.7494	4.49156	6885.61
net	gebracht	was	-10.0253	10.0253	4.26387	1042.1
gebracht	was	zat	-12.8762	12.8762	3.12193	7518.27
was	zat	een	-5.57909	5.57909	3.33468	47.805
zat	een	tor	-21.2387	21.2387	7.04584	2.47E+06
_	_	Mijn	-8.49924	8.49924	8.87044	361.847
_	Mijn	knappe	-17.1989	17.1989	9.0455	150444
Mijn	knappe	oom	-16.3654	16.3654	7.06901	84425.7
knappe	oom	Henk	-7.73132	7.73132	6.76755	212.5
oom	Henk	die	-7.08274	7.08274	2	135.556
Henk	die	de	-4.48102	4.48102	1.92193	22.3316
die	de	onzekere	-17.3485	17.3485	11.2996	166888
de	onzekere	blondine	-17.546	17.546	4.31068	191365
onzekere	blondine	uitnodigde	-19.4968	19.4968	4.24971	739813
blondine	uitnodigde	moest	-11.8328	11.8328	1.74869	3647.73
uitnodigde	moest	lachen	-9.094	9.094	7.79598	546.472
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	oude	-9.29103	9.29103	12.4321	626.441
De	oude	agent	-15.2678	15.2678	8.20816	39451.3
oude	agent	die	-3.2515	3.2515	6.1747	9.52356
agent	die	het	-5.99247	5.99247	3.30843	63.6667
die	het	verdachte	-14.3154	14.3154	10.0295	20386.9
het	verdachte	pakketje	-2.80735	2.80735	3.6645	7
verdachte	pakketje	ontving	-15.8547	15.8547	0.197678	59258.4
pakketje	ontving	opende	-15.6507	15.6507	5.54069	51442.2
ontving	opende	het	-5.12412	5.12412	4.65551	34.875
opende	het	niet	-7.1071	7.1071	4.78418	137.864
_	_	Ondanks	-10.3625	10.3625	8.87044	1316.51
_	Ondanks	zware	-9.85227	9.85227	3.90038	924.333
Ondanks	zware	tegenslag	-18.0799	18.0799	1.58496	277073
zware	tegenslag	die	-7.08274	7.08274	1	135.556
tegenslag	die	iedereen	-11.7519	11.7519	1.58496	3448.93
die	iedereen	ervaart	-16.6937	16.6937	6.38167	106000
iedereen	ervaart	gaan	-9.6734	9.6734	1.79248	816.552
ervaart	gaan	de	-5.79479	5.79479	7.68218	55.5142
gaan	de	meeste	-5.98459	5.98459	8.58899	63.32
de	meeste	mensen	-3.18582	3.18582	8.92242	9.0997
meeste	mensen	gewoon	-8.08428	8.08428	6.85925	271.4
mensen	gewoon	door	-6.32193	6.32193	5.85181	80
_	_	Aan	-8.60498	8.60498	8.87044	389.364
_	Aan	onstuimige	-19.6049	19.6049	3.55454	797354
Aan	onstuimige	tieners	-17.0688	17.0688	5.19583	137475
onstuimige	tieners	die	-5.22055	5.22055	4.95084	37.2857
tieners	die	hun	-9.33696	9.33696	3.6645	646.701
die	hun	gang	-13.5047	13.5047	8.85562	11623.2
hun	gang	gaan	-1.6477	1.6477	3.67975	3.13333
gang	gaan	valt	-12.3503	12.3503	2.86581	5221.7
gaan	valt	doorgaans	-14.9739	14.9739	1.58496	32180.2
valt	doorgaans	weinig	-11.8007	11.8007	1	3567.4
doorgaans	weinig	te	-4.08746	4.08746	3.49923	17
weinig	te	doen	-3.68907	3.68907	5.21492	12.898
_	_	Mannen	-12.6424	12.6424	8.87044	6393.48
_	Mannen	die	-3.79979	3.79979	4.94992	13.9268
Mannen	die	een	-3.83289	3.83289	4.94291	14.25
die	een	strakke	-13.4497	13.4497	10.5672	11188
een	strakke	bandana	-22.5118	22.5118	6.1271	5.98E+06
strakke	bandana	om	-2.58496	2.58496	3.4183	6
bandana	om	hun	-9.33696	9.33696	0	646.701
om	hun	hoofd	-8.74987	8.74987	9.09373	430.5
hun	hoofd	hebben	-4.29331	4.29331	5.25504	19.6071
hoofd	hebben	zijn	-6.94949	6.94949	4.31018	123.596
hebben	zijn	stoer	-17.379	17.379	6.6907	170456
_	_	Vandaag	-10.0049	10.0049	8.87044	1027.49
_	Vandaag	is	-3.35603	3.35603	6.91123	10.2392
Vandaag	is	de	-2.80735	2.80735	3.98685	7
is	de	gevatte	-21.5118	21.5118	11.2545	2.99E+06
de	gevatte	brunette	-21.6373	21.6373	1	3.26E+06
gevatte	brunette	die	-4.45943	4.45943	4.00489	22
brunette	die	de	-4.48102	4.48102	0	22.3316
die	de	zangeres	-10.338	10.338	11.2996	1294.37
de	zangeres	beoordeelt	-17.5692	17.5692	4.64214	194477
zangeres	beoordeelt	erg	-11.3067	11.3067	4.80848	2533.16
beoordeelt	erg	partijdig	-13.7899	13.7899	8.66644	14164
_	_	Toch	-8.64428	8.64428	8.87044	400.118
_	Toch	is	-2.8023	2.8023	7.14748	6.97554
Toch	is	de	-2.88773	2.88773	3.96144	7.40107
is	de	bloemist	-20.9674	20.9674	11.2545	2.05E+06
de	bloemist	die	-7.08274	7.08274	3.18083	135.556
bloemist	die	de	-4.48102	4.48102	0	22.3316
die	de	geschikte	-15.9533	15.9533	11.2996	63449.9
de	geschikte	sollicitant	-18.5653	18.5653	4.93503	387902
geschikte	sollicitant	uitnodigt	-18.7748	18.7748	5.15275	448512
sollicitant	uitnodigt	erg	-11.3067	11.3067	3.69596	2533.16
uitnodigt	erg	vriendelijk	-8.88305	8.88305	8.66644	472.133
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	tamme	-19.8873	19.8873	12.4321	969755
De	tamme	poema	-21.1898	21.1898	5.44777	2.39E+06
tamme	poema	die	-7.08274	7.08274	3.00624	135.556
poema	die	op	-5.85347	5.85347	9.98323	57.8188
die	op	de	-2.36609	2.36609	6.58545	5.15541
op	de	Veluwe	-9.79712	9.79712	11.4403	889.667
de	Veluwe	loopt	-12.9293	12.9293	4.55699	7800.2
Veluwe	loopt	is	-7.95796	7.95796	6.83406	248.649
loopt	is	niet	-3.20945	3.20945	3.89175	9.25
is	niet	gevaarlijk	-11.2531	11.2531	7.58205	2440.67
_	_	Vera	-15.5329	15.5329	8.87044	47411.4
_	Vera	die	-7.08274	7.08274	3.18573	135.556
Vera	die	het	-5.47942	5.47942	1	44.6138
die	het	hondje	-12.2516	12.2516	10.0295	4876.33
het	hondje	wilde	-5.97728	5.97728	5.10856	63
hondje	wilde	aaien	-19.2765	19.2765	0	635061
wilde	aaien	liet	-13.0013	13.0013	3.48188	8199.48
aaien	liet	de	-3.11526	3.11526	6.97018	8.66535
liet	de	jonge	-13.0221	13.0221	6.80771	8318.29
de	jonge	puppy	-19.5421	19.5421	8.57029	763424
jonge	puppy	erg	-11.3067	11.3067	4.8224	2533.16
puppy	erg	schrikken	-13.205	13.205	8.66644	9442.67
_	_	Op	-6.4418	6.4418	8.87044	86.9312
_	Op	de	-2.33161	2.33161	6.19941	5.03368
Op	de	vorige	-11.2832	11.2832	9.25297	2492.25
de	vorige	pagina	-7.44148	7.44148	6.45219	173.824
vorige	pagina	stond	-12.2605	12.2605	4.18045	4906.46
pagina	stond	een	-4.35042	4.35042	6.57019	20.3989
stond	een	verkeerde	-9.48583	9.48583	7.69706	717
een	verkeerde	zin	-9.01959	9.01959	7.02989	519
verkeerde	zin	die	-7.08274	7.08274	0.918296	135.556
zin	die	over	-8.37455	8.37455	5.63203	331.888
die	over	eendenjacht	-26.0967	26.0967	5.22686	7.18E+07
over	eendenjacht	ging	-11.598	11.598	0	3099.86
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	blinde	-14.5843	14.5843	12.4321	24565.4
De	blinde	typiste	-23.5118	23.5118	3.68188	1.20E+07
blinde	typiste	die	-7.08274	7.08274	2.58496	135.556
typiste	die	ondanks	-11.766	11.766	9.98323	3482.82
die	ondanks	haar	-5.66297	5.66297	3.49235	50.6667
ondanks	haar	handicap	-16.6538	16.6538	5.84525	103106
haar	handicap	werkte	-14.6104	14.6104	2.32193	25012.9
handicap	werkte	wist	-13.075	13.075	6.22627	8629.37
werkte	wist	het	-4.91315	4.91315	6.19785	30.1304
wist	het	antwoord	-7.10852	7.10852	5.78243	138
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	resultaten	-9.28579	9.28579	12.4321	624.167
De	resultaten	die	-6.61471	6.61471	3.5161	98
resultaten	die	er	-7.75998	7.75998	5.38116	216.764
die	er	niet	-4.09862	4.09862	7.29287	17.132
er	niet	om	-5.31984	5.31984	6.49998	39.9422
niet	om	logen	-11.0891	11.0891	6.96677	2178.5
om	logen	lieten	-15.1102	15.1102	1	35368.1
logen	lieten	een	-6.1792	6.1792	6.5124	72.4643
lieten	een	sterke	-13.855	13.855	4.73593	14817.6
een	sterke	tendens	-8.98489	8.98489	8.20391	506.667
sterke	tendens	zien	-10.3423	10.3423	2	1298.25
_	_	Moeder	-13.0086	13.0086	8.87044	8240.81
_	Moeder	keek	-14.2837	14.2837	5.57199	19944.9
Moeder	keek	boos	-11.813	11.813	5.97834	3598
keek	boos	naar	-8.27957	8.27957	0	310.742
boos	naar	de	-3.45943	3.45943	3.45943	11
naar	de	kleuter	-15.6954	15.6954	11.6438	53062
de	kleuter	die	-4.70044	4.70044	4.18083	26
kleuter	die	een	-2.80735	2.80735	2.52164	7
die	een	flinke	-10.6423	10.6423	10.5672	1598.29
een	flinke	pruillip	-24.5118	24.5118	8.14345	2.39E+07
flinke	pruillip	trok	-14.8518	14.8518	1.58496	29568.1
_	_	Het	-4.06265	4.06265	8.87044	16.7101
_	Het	nieuwe	-8.47084	8.47084	9.08363	354.794
Het	nieuwe	doelwit	-17.4385	17.4385	7.29251	177628
nieuwe	doelwit	dat	-6.51534	6.51534	0	91.4769
doelwit	dat	de	-3.06498	3.06498	7.86025	8.36856
dat	de	tijger	-14.9314	14.9314	12.132	31247
de	tijger	had	-9.86669	9.86669	3.99572	933.621
tijger	had	gekozen	-13.4294	13.4294	0	11031.8
had	gekozen	liep	-13.4864	13.4864	2.92796	11476.4
gekozen	liep	het	-3.92383	3.92383	6.4326	15.1772
liep	het	bos	-7.6865	7.6865	5.54308	206
het	bos	in	-3.28481	3.28481	6.15417	9.74603
_	_	Toen	-8.26786	8.26786	8.87044	308.23
_	Toen	de	-3.11402	3.11402	6.42661	8.65789
Toen	de	choreograaf	-20.3418	20.3418	8.70512	1.33E+06
de	choreograaf	die	-7.08274	7.08274	3.16993	135.556
choreograaf	die	de	-4.42801	4.42801	9.98323	21.526
die	de	trage	-17.6455	17.6455	11.2996	205034
de	trage	danser	-19.4968	19.4968	4.77052	739813
trage	danser	uitschold	-21.7748	21.7748	4.51024	3.59E+06
danser	uitschold	de	-4.48102	4.48102	1.02193	22.3316
uitschold	de	reden	-10.8401	10.8401	13.2606	1833.11
de	reden	hoorde	-14.3402	14.3402	3.81969	20740.4
reden	hoorde	schrok	-17.0066	17.0066	5.60396	131673
hoorde	schrok	hij	-5.63068	5.63068	4.81858	49.5455
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	man	-6.91192	6.91192	12.4321	120.419
De	man	die	-2.48053	2.48053	5.73693	5.58101
man	die	de	-4.27973	4.27973	6.98244	19.4235
die	de	politie	-8.30056	8.30056	11.2996	315.295
de	politie	arresteerde	-13.7679	13.7679	6.83105	13949
politie	arresteerde	werd	-9.59871	9.59871	1.34019	775.351
arresteerde	werd	onder	-8.47562	8.47562	8.62653	355.973
werd	onder	immens	-18.3825	18.3825	3.21026	341723
onder	immens	protest	-15.4885	15.4885	5.2824	45971.7
immens	protest	afgevoerd	-16.7793	16.7793	4.79014	112479
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	flinke	-17.3917	17.3917	12.4321	171958
De	flinke	bonus	-17.1367	17.1367	1	144100
flinke	bonus	die	-7.08274	7.08274	0	135.556
bonus	die	werd	-9.59871	9.59871	2.80735	775.351
die	werd	uitgedeeld	-17.0939	17.0939	6.81218	139887
werd	uitgedeeld	aan	-2.90689	2.90689	0.905587	7.5
uitgedeeld	aan	het	-5.32193	5.32193	3.16024	40
aan	het	bestuur	-8.95072	8.95072	10.0559	494.806
het	bestuur	werd	-8.76044	8.76044	5.54769	433.667
bestuur	werd	opgemerkt	-15.8619	15.8619	3.85217	59553.4
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	leerling	-12.5091	12.5091	12.4321	5829.08
De	leerling	die	-3.56478	3.56478	5.11067	11.8333
leerling	die	werd	-9.59871	9.59871	5.2507	775.351
die	werd	verhoord	-17.6455	17.6455	6.81218	205034
werd	verhoord	had	-9.86669	9.86669	0.811278	933.621
verhoord	had	de	-4.48102	4.48102	0	22.3316
had	de	vermiste	-15.9444	15.9444	9.5613	63059.6
de	vermiste	decaan	-19.947	19.947	3.2019	1.01E+06
vermiste	decaan	vermoord	-15.1367	15.1367	4.51667	36025
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	vrouw	-8.56674	8.56674	12.4321	379.18
De	vrouw	die	-3.21014	3.21014	5.75145	9.25439
vrouw	die	zwanger	-9.36413	9.36413	6.92278	659
die	zwanger	was	-1.02554	1.02554	2.15895	2.03571
zwanger	was	werd	-6.44294	6.44294	3.02386	87
was	werd	in	-6.22239	6.22239	3.37015	74.6667
werd	in	kritieke	-5.84597	5.84597	7.23127	57.519
in	kritieke	toestand	-0.0221107	0.0221107	0.136435	1.01544
kritieke	toestand	opgenomen	-3.40054	3.40054	2.56009	10.56
toestand	opgenomen	in	-4.70044	4.70044	0.235193	26
opgenomen	in	het	-1.7271	1.7271	3.11097	3.31062
in	het	ziekenhuis	-6.49759	6.49759	10.3569	90.3584
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	vergeten	-16.3917	16.3917	12.4321	85979
De	vergeten	dichter	-14.3842	14.3842	2	21383.2
vergeten	dichter	die	-6.58324	6.58324	5.80943	95.8857
dichter	die	de	-3.54432	3.54432	4.87914	11.6667
die	de	wrede	-18.1779	18.1779	11.2996	296537
de	wrede	lezer	-14.6154	14.6154	5.31924	25100.3
wrede	lezer	vreest	-16.1324	16.1324	7.13473	71833.7
lezer	vreest	is	-8.96434	8.96434	4.35333	499.5
vreest	is	wanhopig	-17.8488	17.8488	0	236059
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	beschermheer	-19.9268	19.9268	12.4321	996693
De	beschermheer	van	-1.21573	1.21573	2.36285	2.32258
beschermheer	van	Delhi	-18.7304	18.7304	1.14648	434920
van	Delhi	die	-7.08274	7.08274	3.53049	135.556
Delhi	die	de	-4.48102	4.48102	0	22.3316
die	de	heilige	-10.7786	10.7786	11.2996	1756.64
de	heilige	tempel	-10.3061	10.3061	6.83623	1266
heilige	tempel	bouwde	-17.1571	17.1571	2.32193	146155
tempel	bouwde	is	-6.31192	6.31192	0	79.4472
bouwde	is	gestorven	-16.0441	16.0441	0	67572.4
_	_	Het	-4.06265	4.06265	8.87044	16.7101
_	Het	houten	-13.7376	13.7376	9.08363	13659.6
Het	houten	bureau	-15.0401	15.0401	4.14266	33691
houten	bureau	dat	-6.51534	6.51534	0	91.4769
bureau	dat	knullig	-20.0523	20.0523	4.36187	1.09E+06
